CustomerID,Recency,Frequency,Monetary,Segment
12785,363,1,311.95,At-Risk
12787,9,3,463.66,Occasional
12789,64,1,91.85,At-Risk
12790,191,1,324.92,At-Risk
12791,373,1,192.60000000000002,At-Risk
12792,256,1,400.53999999999996,At-Risk
12793,334,2,545.48,At-Risk
12794,52,2,860.41,Regular
12795,18,1,430.48,Occasional
12797,365,1,254.03,At-Risk
12798,9,3,6977.04,High-Value
12802,186,1,427.58,At-Risk
12808,36,3,483.65000000000003,Occasional
12809,177,1,489.31,At-Risk
12811,260,3,514.85,At-Risk
12812,44,1,229.64000000000001,At-Risk
12814,101,1,125.92,At-Risk
12815,147,2,1063.46,Regular
12816,95,2,572.2,At-Risk
12817,280,1,166.04,At-Risk
12818,261,1,1542.08,At-Risk
12820,2,4,942.34,Occasional
12821,213,1,92.72,At-Risk
12822,70,2,948.88,Regular
12823,74,5,1759.5,Regular
12824,59,1,397.12,At-Risk
12826,2,7,1474.72,High-Value
12827,5,3,430.15000000000003,Occasional
12828,2,6,1018.71,High-Value
12829,336,2,293.0,At-Risk
12830,37,6,6814.64,Regular
12831,261,1,215.05,At-Risk
12832,31,2,383.03,Occasional
12833,144,1,417.38,At-Risk
12834,282,1,312.38,At-Risk
12836,58,4,2610.36,Regular
12837,172,1,134.1,At-Risk
12838,33,2,671.95,Occasional
12839,2,14,5591.42,High-Value
12840,143,4,2726.77,Regular
12841,4,25,3991.58,High-Value
12842,69,2,1118.99,Regular
12843,65,8,1702.26,Regular
12844,28,2,325.96000000000004,Occasional
12845,266,4,354.09,At-Risk
12847,21,1,843.64,Occasional
12849,30,2,1010.29,Regular
12851,96,1,131.81,At-Risk
12852,294,1,311.55,At-Risk
12853,134,6,1957.1000000000001,Regular
12854,78,3,1316.25,Regular
12855,372,1,38.1,At-Risk
12856,7,6,2170.78,High-Value
12857,210,2,1106.4,At-Risk
12863,51,1,521.2,At-Risk
12864,137,1,147.12,At-Risk
12865,25,2,1568.23,Regular
12866,282,1,559.12,At-Risk
12867,25,7,4009.34,High-Value
12868,185,6,1607.0600000000002,Regular
12871,83,2,380.64,At-Risk
12872,326,2,599.97,At-Risk
12873,281,1,374.0,At-Risk
12875,142,2,343.2300000000001,At-Risk
12876,57,2,2218.02,Regular
12877,3,12,1535.77,High-Value
12878,235,2,854.99,At-Risk
12879,44,3,573.22,Regular
12881,275,1,298.0,At-Risk
12882,8,2,1463.04,Occasional
12883,24,4,703.47,Regular
12884,87,1,309.05,At-Risk
12885,62,3,1175.22,Regular
12886,67,2,1378.4,Regular
12888,213,2,354.12,At-Risk
12890,23,1,376.71999999999997,Occasional
12891,185,3,331.0,At-Risk
12893,30,1,176.55,Occasional
12895,41,2,372.8,Occasional
12897,204,2,216.5,At-Risk
12901,8,28,17654.54,High-Value
12902,264,1,138.68,At-Risk
12904,17,2,496.06,Occasional
12906,11,5,2919.81,High-Value
12908,175,2,750.0,At-Risk
12909,39,5,2178.67,Regular
12910,22,8,3075.04,High-Value
12912,2,5,1662.3,High-Value
12913,4,5,2483.63,High-Value
12915,148,2,363.65,At-Risk
12916,138,4,2944.95,Regular
12917,127,1,594.0,At-Risk
12919,7,6,1335.19,High-Value
12920,16,1,162.78,Occasional
12921,8,37,16587.09,High-Value
12922,160,1,405.38,At-Risk
12923,63,1,172.82,At-Risk
12924,87,4,933.7,Regular
12925,4,2,694.05,Occasional
12928,34,5,2062.7000000000003,Regular
12929,311,1,117.85,At-Risk
12930,77,2,415.8,At-Risk
12931,21,15,42055.96,High-Value
12933,23,3,607.53,Occasional
12935,1,7,2160.7,High-Value
12936,16,4,1063.9,Regular
12937,14,4,1504.27,Regular
12938,25,1,114.14,Occasional
12939,63,8,11581.8,High-Value
12940,54,2,899.69,Regular
12942,130,3,675.6,Regular
12944,35,2,604.51,Occasional
12945,287,1,462.95,At-Risk
12947,143,6,1603.99,Regular
12948,15,7,2064.95,High-Value
12949,30,8,4167.22,High-Value
12950,1,3,1843.0,Occasional
12951,8,6,1064.07,Regular
12952,5,4,1387.79,Occasional
12953,9,1,329.85,Occasional
12955,0,11,4757.16,High-Value
12956,305,1,108.07,At-Risk
12957,9,8,4017.54,High-Value
12962,6,2,266.39,Occasional
12963,7,8,1856.63,High-Value
12965,88,1,769.8100000000001,At-Risk
12966,9,1,160.18,Occasional
12967,357,2,1660.9,Regular
12968,111,1,135.95,At-Risk
12970,6,4,405.47,Occasional
12971,3,86,11189.91,High-Value
12974,197,1,144.8,At-Risk
12976,211,1,738.6,At-Risk
12977,155,1,39.239999999999995,At-Risk
12980,157,9,7374.900000000001,Regular
12981,29,2,372.21999999999997,Occasional
12982,242,1,390.54,At-Risk
12984,18,1,97.5,Occasional
12985,0,2,1239.38,Occasional
12987,73,2,558.7,At-Risk
12988,291,1,505.82,At-Risk
12989,2,15,6924.110000000001,High-Value
12990,30,3,409.5,Occasional
12991,22,2,503.76,Occasional
12993,22,4,414.76,Occasional
12994,3,3,974.4200000000001,Occasional
12995,84,1,211.32,At-Risk
12997,21,4,1226.89,Regular
12999,195,3,455.88,At-Risk
13000,106,3,534.85,Regular
13001,3,13,9785.970000000001,High-Value
13002,317,1,120.94999999999999,At-Risk
13003,105,3,149.05,At-Risk
13004,11,18,5655.91,High-Value
13005,173,2,513.7,At-Risk
13006,55,1,81.57,At-Risk
13008,322,1,229.46999999999997,At-Risk
13011,371,1,50.550000000000004,At-Risk
13012,8,8,1646.8400000000001,High-Value
13013,0,13,4810.9400000000005,High-Value
13014,10,10,3466.2799999999997,High-Value
13015,52,5,3339.64,Regular
13016,72,3,789.89,Regular
13017,6,1,204.0,Occasional
13018,15,28,7277.7,High-Value
13021,3,9,2616.38,High-Value
13023,63,2,689.9,Regular
13026,0,5,975.36,High-Value
13027,113,6,6912.0,Regular
13028,22,2,661.3199999999999,Occasional
13029,30,3,1247.5,Regular
13030,10,2,752.4399999999999,Occasional
13032,51,2,1010.18,Regular
13033,356,1,190.55,At-Risk
13034,54,2,642.77,Regular
13035,73,2,921.88,Regular
13037,137,3,881.07,Regular
13038,79,3,908.46,Regular
13040,8,2,676.99,Occasional
13043,272,1,516.42,At-Risk
13044,290,1,560.47,At-Risk
13045,98,1,305.28000000000003,At-Risk
13046,30,2,629.31,Occasional
13047,31,10,3237.54,High-Value
13048,13,4,1819.41,Regular
13049,63,2,656.6800000000001,Regular
13050,14,17,5836.86,High-Value
13052,211,1,348.15000000000003,At-Risk
13055,77,3,1214.41,Regular
13058,24,3,271.40000000000003,Occasional
13059,249,1,183.4,At-Risk
13060,253,1,307.53,At-Risk
13061,71,1,248.61,At-Risk
13062,190,1,346.98,At-Risk
13064,12,4,1105.59,Regular
13065,372,1,205.86,At-Risk
13066,23,2,470.8,Occasional
13067,81,1,115.46000000000001,At-Risk
13068,9,2,344.0,Occasional
13069,0,24,4431.44,High-Value
13070,191,1,228.8,At-Risk
13072,266,1,177.15,At-Risk
13075,129,1,919.61,At-Risk
13077,0,4,728.02,Occasional
13078,2,26,12627.94,High-Value
13079,3,5,220.10000000000002,Occasional
13080,178,1,58.08,At-Risk
13081,11,11,28337.38,High-Value
13082,125,9,3613.63,Regular
13083,3,2,303.75,Occasional
13085,157,2,416.08000000000004,At-Risk
13089,2,97,58762.08,High-Value
13090,8,14,8910.82,High-Value
13091,27,1,345.82,Occasional
13092,70,5,477.83,Regular
13093,275,8,7832.47,Regular
13094,20,12,1927.3200000000002,High-Value
13095,70,1,74.39999999999999,At-Risk
13097,32,10,6003.22,High-Value
13098,0,28,28882.44,High-Value
13099,98,1,207.35999999999999,At-Risk
13101,233,1,101.19,At-Risk
13102,0,24,6424.09,High-Value
13103,39,1,243.94,At-Risk
13104,2,6,1098.48,High-Value
13106,132,1,76.5,At-Risk
13107,43,4,1531.6200000000001,Regular
13108,372,1,350.06,At-Risk
13109,59,2,786.54,Regular
13110,30,7,1488.67,Regular
13113,0,24,12245.960000000001,High-Value
13115,11,4,2294.78,Regular
13116,137,1,501.14,At-Risk
13117,21,8,984.91,Regular
13118,19,5,1197.81,Regular
13120,238,1,30.599999999999998,At-Risk
13121,268,1,283.73,At-Risk
13122,93,2,922.39,Regular
13124,89,3,3756.33,Regular
13126,4,8,2099.64,High-Value
13127,77,1,259.17,At-Risk
13130,93,1,64.0,At-Risk
13131,22,3,1073.3,Regular
13132,261,1,77.3,At-Risk
13133,273,2,109.8,At-Risk
13134,85,4,1793.58,Regular
13135,196,1,3096.0,Regular
13136,55,5,2607.61,Regular
13137,10,8,3603.29,High-Value
13138,21,6,962.39,Regular
13139,15,7,5064.94,High-Value
13140,107,3,422.47,At-Risk
13141,84,5,2388.75,Regular
13142,18,1,307.09,Occasional
13144,332,1,110.95,At-Risk
13145,39,4,618.52,Regular
13146,25,1,228.91,Occasional
13147,9,4,712.8000000000001,Occasional
13148,28,12,3683.26,High-Value
13149,13,4,1676.06,Regular
13151,295,1,1257.8700000000001,At-Risk
13153,5,1,486.22,Occasional
13155,32,4,971.76,Regular
13157,48,4,1741.22,Regular
13158,94,4,1201.06,Regular
13159,8,4,1429.35,Regular
13160,21,1,91.8,Occasional
13161,312,1,112.75,At-Risk
13162,121,4,1688.29,Regular
13165,45,2,1021.48,Regular
13166,282,1,417.2,At-Risk
13167,18,4,791.33,Regular
13168,35,4,1299.59,Regular
13169,63,2,712.88,Regular
13170,26,1,108.81,Occasional
13171,21,3,468.41,Occasional
13173,3,2,353.65,Occasional
13174,15,3,2742.82,Regular
13176,45,1,481.49,At-Risk
13177,64,1,282.45,At-Risk
13178,25,11,5725.47,High-Value
13182,44,1,121.18,At-Risk
13183,7,9,3957.78,High-Value
13184,14,10,1668.95,High-Value
13185,267,1,71.4,At-Risk
13186,39,3,1575.89,Regular
13187,336,1,236.02,At-Risk
13188,10,1,114.60000000000001,Occasional
13189,18,2,260.68,Occasional
13192,94,2,911.94,Regular
13193,60,1,112.08,At-Risk
13194,135,1,60.7,At-Risk
13196,10,4,1797.78,Regular
13198,9,6,3401.2400000000002,High-Value
13199,3,38,9817.12,High-Value
13200,18,4,870.09,Regular
13203,9,4,869.46,Occasional
13207,14,2,250.26000000000002,Occasional
13208,58,6,1217.65,Regular
13209,29,8,5891.61,High-Value
13210,93,1,353.48,At-Risk
13211,9,3,1095.42,Occasional
13212,19,3,786.83,Occasional
13213,56,5,1520.58,Regular
13216,267,1,333.74,At-Risk
13217,121,3,533.98,At-Risk
13218,126,1,62.63999999999999,At-Risk
13220,77,4,819.2900000000001,Regular
13221,239,2,847.41,At-Risk
13223,199,2,163.20000000000002,At-Risk
13224,59,2,2155.95,Regular
13225,2,7,6463.84,High-Value
13226,272,1,108.21000000000001,At-Risk
13227,201,1,257.7,At-Risk
13228,80,1,358.0,At-Risk
13229,225,1,160.95,At-Risk
13230,3,14,2755.63,High-Value
13232,12,7,1328.35,High-Value
13233,73,2,605.12,At-Risk
13235,211,1,1031.07,At-Risk
13236,24,2,744.85,Occasional
13238,16,4,700.73,Occasional
13239,261,1,329.56,At-Risk
13240,95,4,663.65,Regular
13242,111,3,270.40000000000003,At-Risk
13243,202,1,585.12,At-Risk
13244,92,1,121.74000000000001,At-Risk
13245,50,1,430.5,At-Risk
13246,17,6,1961.52,Regular
13247,17,4,501.12,Occasional
13248,124,2,465.68,At-Risk
13249,91,3,711.41,Regular
13253,156,2,1030.4,Regular
13255,8,2,399.51,Occasional
13258,11,3,672.83,Occasional
13259,61,1,283.18,At-Risk
13260,60,1,557.62,At-Risk
13261,268,2,944.1,At-Risk
13262,262,1,200.29,At-Risk
13263,0,35,7436.93,High-Value
13265,52,5,2092.66,Regular
13266,10,12,3834.2599999999998,High-Value
13267,2,19,4521.49,High-Value
13268,17,11,3174.75,High-Value
13269,0,15,5343.28,High-Value
13270,365,1,590.0,At-Risk
13271,36,1,211.49,At-Risk
13272,30,2,276.56,Occasional
13273,112,1,138.98,At-Risk
13276,63,2,590.9300000000001,At-Risk
13277,15,4,258.4,Occasional
13278,40,1,542.73,Occasional
13279,77,1,137.75,At-Risk
13280,121,3,798.46,Regular
13282,17,3,1132.14,Regular
13283,59,2,93.66,At-Risk
13284,330,1,201.19,At-Risk
13285,22,4,2709.12,Regular
13291,155,1,361.11,At-Risk
13292,38,2,578.9399999999999,Occasional
13294,189,2,873.74,At-Risk
13295,359,1,201.20000000000002,At-Risk
13296,136,1,87.4,At-Risk
13297,7,4,2089.85,Regular
13298,0,1,360.0,Occasional
13299,267,1,142.5,At-Risk
13300,168,1,371.89,At-Risk
13301,103,4,618.09,Regular
13302,154,1,63.75,At-Risk
13304,350,1,300.42,At-Risk
13305,3,10,2000.86,High-Value
13307,119,1,15.0,At-Risk
13308,22,3,1385.51,Regular
13309,6,5,1456.79,High-Value
13310,27,3,1132.03,Regular
13311,3,2,598.57,Occasional
13313,21,5,1555.32,Regular
13314,1,3,775.94,Occasional
13316,36,4,5732.93,Regular
13317,65,6,2273.68,Regular
13318,0,3,640.76,Occasional
13319,4,26,10845.550000000001,High-Value
13320,77,4,1532.2,Regular
13321,71,2,567.36,At-Risk
13322,16,1,199.48000000000002,Occasional
13323,2,5,787.85,Occasional
13324,35,10,7121.95,High-Value
13325,81,1,675.3,At-Risk
13327,38,8,3627.77,Regular
13328,315,1,1308.48,At-Risk
13329,31,2,789.0,Occasional
13330,92,3,1140.93,Regular
13332,13,1,350.9,Occasional
13334,81,3,3502.32,Regular
13336,76,1,795.12,At-Risk
13338,157,1,487.02,At-Risk
13339,200,1,860.12,At-Risk
13340,44,7,10736.48,High-Value
13341,260,1,775.85,At-Risk
13343,177,1,353.43,At-Risk
13344,67,3,2511.69,Regular
13345,287,1,389.5,At-Risk
13347,69,1,341.36,At-Risk
13348,63,1,233.76,At-Risk
13349,10,1,247.32,Occasional
13350,15,2,979.12,Occasional
13351,65,1,373.94,At-Risk
13352,59,1,397.97999999999996,At-Risk
13354,70,1,743.53,At-Risk
13355,121,1,674.7,At-Risk
13356,79,1,768.24,At-Risk
13357,256,1,609.4,At-Risk
13358,268,1,439.03,At-Risk
13359,63,1,439.56,At-Risk
13362,8,4,3090.7400000000002,High-Value
13363,17,2,992.5,Occasional
13364,70,1,134.95999999999998,At-Risk
13365,33,2,2225.37,Regular
13366,49,1,56.160000000000004,At-Risk
13368,256,2,623.4,At-Risk
13369,365,1,308.28000000000003,At-Risk
13370,371,1,754.87,At-Risk
13372,89,1,378.64,At-Risk
13373,60,3,3312.25,Regular
13375,88,1,778.65,At-Risk
13376,98,3,1019.76,Regular
13379,25,3,572.56,Occasional
13381,31,6,3639.31,Regular
13382,280,1,222.99,At-Risk
13384,30,7,4151.93,Regular
13385,329,1,534.57,At-Risk
13388,130,2,677.1,At-Risk
13389,10,3,797.96,Occasional
13390,74,1,544.08,At-Risk
13391,203,1,59.8,At-Risk
13394,1,8,2520.02,High-Value
13395,184,1,307.72,At-Risk
13396,28,2,1360.99,Regular
13397,72,5,1544.13,Regular
13398,191,1,457.34,At-Risk
13402,126,2,621.23,At-Risk
13403,17,1,75.0,Occasional
13404,0,2,252.49,Occasional
13405,73,3,572.451,Regular
13408,1,62,28117.04,High-Value
13410,23,5,1003.06,Regular
13411,106,1,213.55,At-Risk
13414,133,3,1390.5,Regular
13416,43,2,712.5,Regular
13417,4,2,640.83,Occasional
13418,11,18,6127.43,High-Value
13419,63,1,221.06,At-Risk
13420,149,2,159.85,At-Risk
13421,39,2,1833.71,Regular
13422,63,1,2626.3,Regular
13425,107,3,1624.21,Regular
13426,0,10,3641.32,High-Value
13427,18,3,582.6,Occasional
13428,9,1,201.78,Occasional
13429,10,4,1006.8,Occasional
13430,18,2,679.45,Occasional
13431,66,2,1269.1,Regular
13434,73,2,534.24,At-Risk
13435,4,7,3809.8900000000003,High-Value
13436,1,1,196.89,Occasional
13437,13,7,3408.06,High-Value
13439,254,1,283.71,At-Risk
13441,91,1,296.64,At-Risk
13447,22,3,1129.14,Regular
